date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:29:59	124900/124900	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221e7e4-548f22de7ba40%22	http://egotype.design/work/web/html/kounter/fonts/linea/linea.eot?	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/fonts/linea/linead41d.eot	(from http://egotype.design/work/web/html/kounter/css/icons/linea.css)
20:30:11	124744/124744	---M--	200	added ('OK')	application/font-sfnt	etag:%221e748-548f22e9ed540%22	http://egotype.design/work/web/html/kounter/fonts/linea/linea.ttf	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/fonts/linea/linea.ttf	(from http://egotype.design/work/web/html/kounter/css/icons/linea.css)
20:30:18	41056/41056	---M--	200	added ('OK')	text/html	etag:%22a060-548f2318a8380%22	http://egotype.design/work/web/html/kounter/fonts/montserrat/Montserrat-ExtraLight.woff2	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/fonts/montserrat/Montserrat-ExtraLight.woff2	(from http://egotype.design/work/web/html/kounter/css/style.css)
20:30:27	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-548f22a81fa00%22	http://egotype.design/work/web/html/kounter/fonts/font-awesome/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/fonts/font-awesome/fontawesome-webfont3e6e.eot	(from http://egotype.design/work/web/html/kounter/css/icons/font-awesome.css)
20:30:38	117348/117348	---M--	200	added ('OK')	application/font-sfnt	etag:%221ca64-548f230965f80%22	http://egotype.design/work/web/html/kounter/fonts/montserrat/Montserrat-Bold.ttf	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/fonts/montserrat/Montserrat-Bold.ttf	(from http://egotype.design/work/web/html/kounter/css/style.css)
20:30:54	285284/285284	---M--	200	added ('OK')	image/svg+xml	etag:%2245a64-548f22f46ae00%22	http://egotype.design/work/web/html/kounter/fonts/linea/linea.svg	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/fonts/linea/linea.svg	(from http://egotype.design/work/web/html/kounter/css/icons/linea.css)
20:31:10	327599/327599	---M--	200	added ('OK')	image/jpeg	etag:%224ffaf-548f23f124240%22	http://egotype.design/work/web/html/kounter/images/about-image-7-lg.jpg	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/images/about-image-7-lg.jpg	(from http://egotype.design/work/web/html/kounter/index-waterpipe.html)
20:31:10	330/330	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2012%20May%202018%2015:31:11%20GMT	http://egotype.design/work/web/html/kounter/css/fonts/font-awesome/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/css/fonts/font-awesome/fontawesome-webfont3e6e.ttf	(from http://egotype.design/work/web/html/kounter/css/icons/font-awesome.css)
20:31:20	210516/210516	---M--	200	added ('OK')	image/jpeg	etag:%2233654-548f245452c40%22	http://egotype.design/work/web/html/kounter/images/page-image-4.jpg	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/images/page-image-4.jpg	(from http://egotype.design/work/web/html/kounter/css/style.css)
20:31:29	509543/509543	---M--	200	added ('OK')	image/jpeg	etag:%227c667-548f243f57ac0%22	http://egotype.design/work/web/html/kounter/images/page-image-2.jpg	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/images/page-image-2.jpg	(from http://egotype.design/work/web/html/kounter/css/style.css)
20:32:29	1902947/1902947	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%221d0963-548f2505b4ec0%22	http://egotype.design/work/web/html/kounter/images/page-image-bw.jpg	C:/My%20Web%20Sites/coming%20soon2/egotype.design/work/web/html/kounter/images/page-image-bw.jpg	(from http://egotype.design/work/web/html/kounter/css/style.css)
